Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #8454
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0116
Water Temp (deg C),24.30
Room Temp (deg C),22.43
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.29
60.00,24.30
90.00,24.29
120.00,24.29
150.00,24.29
180.00,24.29
210.00,24.30
240.00,24.30
270.00,24.29
300.00,24.28
330.00,24.75
360.00,25.49
390.00,26.08
420.00,26.46
450.00,26.65
480.00,26.80
510.00,26.83
540.00,26.89
570.00,26.92
600.00,26.91
630.00,26.93
660.00,26.93
690.00,26.92
720.00,26.92
750.00,26.91
780.00,26.91
810.00,26.91
840.00,26.92
870.00,26.90
900.00,26.92
930.00,26.91
960.00,26.93
